Data_Source,Airline_Name,Boarding,Cabin_Staff_Service,Comfort,Entertainment,Food_And_Beverages,Overall_Airline_Rating,Mention,Number_Evaluation
Kayak,somon-air,"7,3",8,"7,8","5,3","6,4",7,Bien,9
Kayak,south-african-airways,"7,6","7,9","7,3","6,6","7,1","7,3",Bien,1751
Kayak,southern-air,"7,3","7,5",7,"6,4","6,4",7,Bien,60
Kayak,southern-charter,8,8,8,6,6,7,Bien,1
Kayak,southwest-airlines,"8,7",9,"8,5",8,"7,9","8,5",Excellent,12030
Kayak,spicejet,"6,7","7,2","6,6","5,6","6,1","6,5",Bien,295
Kayak,spirit-airlines,"6,1","6,5","5,4","4,6","4,7","5,6",Correct,59979
Kayak,spring-airlines,"7,2","7,2","6,4","5,2",6,"6,5",Bien,33
Kayak,srilankan-airlines,"7,6","8,2","7,6","7,6","7,6","7,7",Bien,701
Kayak,sriwijaya-air,"6,6","6,8","6,8","4,8","5,3","6,2",Bien,13
Kayak,starflyer,9,9,"8,5","8,5","8,3","8,6",Excellent,11
Kayak,star-peru,7,7,"6,5","5,8","6,1","6,5",Bien,45
Kayak,sun-country-airlines,"8,2","8,5","7,7","6,8","7,1","7,8",Bien,8925
Kayak,sunexpress,"7,3","7,7",7,"6,1","6,3","6,9",Bien,237
Kayak,sunexpress,"7,7","7,9","6,9","6,1","5,8",7,Bien,29
Kayak,sunrise-airways,6,6,5,2,2,"5,5",Correct,2
Kayak,sunwing-airlines,7,"7,4","6,9","6,5","6,8","6,9",Bien,65
Kayak,surinam-airways,"7,6","8,1","7,5","6,3","7,4","7,4",Bien,90
Kayak,swiss,"8,3","8,7","7,9","7,8",8,"8,1",Excellent,8646
Kayak,t'way-air,"7,8","8,4","7,6","6,3","7,3","7,6",Bien,25
Kayak,taag-angola-airlines,"6,5","6,7","7,1","5,7","6,4","6,5",Bien,83
Kayak,taca-intl-air,8,"8,2","7,9","7,7","7,6","7,9",Bien,3050
