Data_Source,Airline_Name,Boarding,Cabin_Staff_Service,Comfort,Entertainment,Food_And_Beverages,Overall_Airline_Rating,Mention,Number_Evaluation
Kayak,fastjet,"7,4","7,4","6,2",6,6,"6,7",Bien,10
Kayak,fiji-airways,"7,8","8,3","7,4","7,5","7,1","7,6",Bien,960
Kayak,finnair,8,"8,3","7,5","7,3","7,2","7,7",Bien,3520
Kayak,firefly,"7,4","7,9","7,4","6,4","7,1","7,2",Bien,27
Kayak,first-air,"7,5","7,5","6,2","4,5","4,3","6,2",Bien,16
Kayak,flair-airlines,"7,6","7,7","6,6","5,8","5,8","6,9",Bien,18
Kayak,fly-corporate,"6,2","6,4","5,6","4,5","4,6","5,7",Correct,73
Kayak,fly-jamaica-airways,"7,1","8,3","8,3",6,"6,9","7,3",Bien,7
Kayak,fly-sax,"6,8","7,3","6,3","3,3","5,8","5,8",Correct,8
Kayak,fly540,"6,3",7,"6,8","5,7","6,4","6,5",Bien,18
Kayak,flybe,"7,5",8,"7,3","6,1","6,5","7,2",Bien,1541
Kayak,flydubai,"6,5","6,9","6,2","5,4","5,7","6,2",Bien,746
Kayak,flynas,"5,9","6,5","5,7","4,2","4,9","5,6",Correct,136
Kayak,fly-one,7,"9,5",7,4,8,"6,9",Bien,4
Kayak,safair,"7,8","8,2","7,7","6,1","6,4","7,4",Bien,38
Kayak,french-bee,7,8,6,7,6,"6,7",Bien,2
Kayak,frontier-airlines,"6,4","6,8","5,4","4,6","4,7","5,7",Correct,38390
Kayak,garuda-indonesia,"8,4","8,8","8,4",8,"7,8","8,2",Excellent,678
Kayak,georgian-airways,"8,1","8,2","7,5","5,1","6,2","7,2",Bien,73
Kayak,go-air,"6,9","7,3","6,8","5,5","6,2","6,7",Bien,101
Kayak,gol-linhas-aereas,"7,7","8,2","7,5","6,3","6,3","7,3",Bien,2888
Kayak,grand-china-air,"8,7",8,"7,3","6,7","6,7","7,5",Bien,3
Kayak,gulf-air,"7,6","7,7","7,5","7,2","7,1","7,4",Bien,771
Kayak,hainan-airlines,"7,9","8,3","7,9","7,8","7,7","7,9",Bien,1525
Kayak,hawaiian-airlines,"8,5","8,8","8,2","7,3","7,8","8,2",Excellent,6544
Kayak,helvetic-airways,"8,3","8,7","8,1","7,4","7,9","8,1",Excellent,411
Kayak,hk-express,7,"7,2","6,6","5,4","5,8","6,6",Bien,191
Kayak,hong-kong-airlines,"7,7","7,9","7,5","7,3",7,"7,5",Bien,1332
Kayak,hop!,"7,6","8,2","7,4","6,3",7,"7,3",Bien,177
Kayak,iberia,"7,4","7,7","7,1",7,"6,6","7,2",Bien,5428
Kayak,iberia-express,"7,3","7,7","6,6","6,2","6,2","6,9",Bien,296
Kayak,ibex-airlines,"9,3",10,"9,4","8,9","9,2","8,8",Excellent,15
Kayak,icelandair,"7,2","8,1","7,4","7,7","6,3","7,3",Bien,9152
Kayak,indigo,"7,5",8,"7,5",6,"6,7","7,2",Bien,546
Kayak,indonesia-airasia,"6,6","7,2","6,4","5,3","5,8","6,3",Bien,292
Kayak,intercaribbean-airways,"7,1","7,4","6,9",6,6,"6,8",Bien,112
Kayak,interjet,"7,6",8,"7,8","6,3","6,9","7,4",Bien,3552
Kayak,iraero,2,2,2,2,2,2,Médiocre,1
Kayak,israir-airlines,"7,3","7,8","7,5","5,8","5,8",7,Bien,41
Kayak,jambojet,6,7,7,6,4,"6,1",Bien,9
Kayak,japan-air-commuter,"7,7",8,8,"6,9","7,1","7,6",Bien,8
Kayak,japan-airlines,"8,9","9,1","8,7","8,6","8,5","8,7",Excellent,4328
Kayak,japan-transocean-air,8,"8,2","7,8","6,2","6,7","7,5",Bien,12
Kayak,jazeera-airways,"6,3","6,3","5,2","3,4","3,8","5,1",Correct,29
Kayak,jc-airlines,10,9,10,10,10,"7,3",Excellent,3
Kayak,jeju-air,"7,7","7,9","7,2","5,7","6,7",7,Bien,24
Kayak,jet-airways,"7,1","7,4","6,9","6,3","6,8","6,9",Bien,2450
Kayak,jet2,"8,2","8,8","7,7","5,2","6,7","7,5",Bien,164
Kayak,jetblue-airways,"8,3","8,6","8,3","7,9","7,8","8,2",Excellent,18270
Kayak,jetlite,6,"6,8","6,2","5,5",6,"6,1",Bien,24
Kayak,jetstar-airways,"6,6","6,9","6,1","5,1","5,2","6,1",Bien,4492
Kayak,jetstar-airways,"6,9","7,2","6,3",5,"5,5","6,3",Bien,1416
Kayak,jetstar-airways,"7,1","7,5","6,6","5,5","5,8","6,6",Bien,1079
Kayak,jetstar-airways,"6,2","6,6","5,8","4,7",5,"5,8",Correct,642
Kayak,jin-air,"7,2","7,7","6,7","5,2",6,"6,7",Bien,150
Kayak,juneyao-airlines,7,"7,4","6,6","4,6","6,1","6,5",Bien,87
Kayak,kam-air,2,8,4,2,6,"4,5",Correct,2
Kayak,kaya-airlines,"8,7","8,7","8,7","8,7",6,"8,2",Excellent,3
Kayak,kenya-airways,"7,1","7,4","7,2","6,5","6,7",7,Bien,1151
Kayak,klm,8,"8,4","7,7","7,2","7,5","7,8",Bien,3404
Kayak,komiaviatrans,7,6,4,5,5,"5,5",Correct,2
Kayak,korean-air,"8,8","9,1","8,6","8,6","8,5","8,7",Excellent,4752
Kayak,kulula,"7,7","7,9","7,4","6,7",7,"7,4",Bien,209
Kayak,kuwait-airways,"6,1","6,5","6,4","5,9","6,3","6,2",Bien,1261
Kayak,la-compagnie,"8,8",9,"8,9","8,5","8,6","8,8",Excellent,36
Kayak,lam-mozambique-airlines,"6,8","7,3","6,8","6,4","6,8","6,8",Bien,38
Kayak,lanmei-airlines,"6,9","7,5","6,5","4,8","4,8","6,6",Bien,18
Kayak,lao-airlines,"8,5","8,9","8,4","7,3","7,8","8,2",Excellent,108
Kayak,latam-airlines,"7,5","8,1","7,4","7,3",7,"7,5",Bien,4844
Kayak,laudamotion,"6,4","6,9","6,9","4,7",6,"6,5",Bien,26
Kayak,lc-perú,"5,9","6,6","6,3","5,3","5,7",6,Bien,322
Kayak,liat,"6,3","6,9","6,5","5,1","5,1","6,2",Bien,231
Kayak,libyan-airlines,6,8,9,8,9,"7,8",Bien,4
Kayak,lion-air,"6,1","6,4","5,6","4,3","4,3","5,5",Correct,40
Kayak,loganair,"8,6",9,"8,2","7,5","8,1","8,3",Excellent,34
Kayak,lot,"7,5","7,9","7,4",7,7,"7,4",Bien,4947
Kayak,lucky-air,"5,1","5,4","4,9","3,7",4,"4,7",Correct,8
Kayak,lufthansa,"8,1","8,5","7,9","7,7","7,7",8,Excellent,26798
Kayak,luxair,"8,3","8,6","7,8",7,"7,7","7,9",Bien,133
Kayak,malaysia-airlines,"7,3","7,6","7,1","6,9","6,7","7,1",Bien,1442
Kayak,malindo-air,"7,4","7,6","7,6","6,9",7,"7,3",Bien,140
Kayak,mandarin-airlines,"7,9","8,4","7,9","7,2","7,2","7,8",Bien,16
Kayak,mango,"7,6","7,9","7,3","6,7","7,1","7,3",Bien,91
Kayak,mann-yadanarpon-airlines,2,2,2,2,2,2,Médiocre,1
Kayak,mauritania-airlines-international,8,8,"7,7",8,"7,7","7,9",Bien,6
Kayak,maya-island-air,"9,7","9,7","9,7","8,3","8,3","9,3",Excellent,7
Kayak,mea,"8,1","8,4",8,"7,6","7,9",8,Excellent,753
Kayak,med-view-airline,4,6,"4,7",2,"3,3","4,1",Correct,3
Kayak,miat-mongolian-airlines,8,"8,2","7,8",7,"7,7","7,8",Bien,102
